Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
934,Na2Pr2S8Si2,00a16f479e,NaPrSiS4,"['Na', 'Si', 'S', 'Pr']",14,342.2209,3.1078,2,P2_1,4,monoclinic,-79.0232,-1.6339,-0.0214,,2.604,,0.0,,-0.0214,-0.0213
1194,As4Na1Pd20Si2Y2,00d1138c9c,NaY2Si2(AsPd5)4,"['Na', 'Si', 'As', 'Y', 'Pd']",29,483.4798,9.222,4/mmm,I4/mmm,139,tetragonal,-165.1777,-0.6151,-0.0377,,,,0.0,,-0.0377,-0.0148
1388,Ge1Na4Se6Si1Sr1,00f2c1e2e9,Na4SrSiGeSe6,"['Na', 'Si', 'Ge', 'Se', 'Sr']",13,345.9858,3.6191,1,P1,1,triclinic,-54.4208,-1.2629,-0.0134,,2.3721,,0.0,,-0.0161,-0.0157
3146,Au12Er11Na1Si12,021bde7ac0,NaEr11(SiAu)12,"['Na', 'Si', 'Er', 'Au']",36,725.8868,10.4394,m,Pm,6,monoclinic,-182.9975,-0.751,-0.0875,,,,0.0,,-0.0875,-0.0102
4903,Co3Ir9Na2Si7,034221b671,Na2Co3Si7Ir9,"['Na', 'Si', 'Co', 'Ir']",21,301.0091,11.8569,-6,P-6,174,hexagonal,-153.2263,-0.5583,-0.084,,,,0.0,,-0.084,-0.0767
7851,Au2Na1Si2Yb1,05435eeeb1,NaYb(SiAu)2,"['Na', 'Si', 'Yb', 'Au']",6,119.098,9.0088,mm2,Imm2,44,orthorhombic,-23.3666,-0.5177,-0.02,,0.0183,,0.0,,-0.02,-0.0118
11474,Ir19Na5P3Si9,07bab3fe92,Na5Si9P3Ir19,"['Na', 'Si', 'P', 'Ir']",36,555.9978,12.2831,-6m2,P-62m,189,hexagonal,-260.8123,-0.5889,-0.1142,,0.0017,,-0.0,,-0.1142,-0.095
14543,Au1Cu17Na2Si8,09c005dca3,Na2Cu17Si8Au,"['Na', 'Si', 'Cu', 'Au']",28,389.6044,6.5974,m,Cm,8,monoclinic,-121.335,-0.0831,-0.0072,,0.004,,0.0,,-0.0072,-0.0062
15316,Na5Rh8Si24Yb1,0a450f101f,Na5Yb(Si3Rh)8,"['Na', 'Si', 'Rh', 'Yb']",38,615.1522,4.8192,2,C2,5,monoclinic,-212.6882,-0.405,-0.0076,,,,0.0,,-0.0076,-0.0074
15467,Eu3Na1Pt6Si10,0a5c5f12d8,NaEu3(Si5Pt3)2,"['Na', 'Si', 'Eu', 'Pt']",20,355.4114,9.0184,m,Cm,8,monoclinic,-138.7422,-0.7932,-0.032,,0.0017,,0.0,,-0.0318,-0.0135
15471,Ba6Dy6Na2O40Si12,0a5d30625d,Ba3NaDy3(Si3O10)2,"['O', 'Na', 'Si', 'Ba', 'Dy']",66,990.4368,4.7312,mm2,Ama2,40,orthorhombic,-536.0338,-3.5032,-0.0216,,,,0.0,,-0.0216,-0.0149
15872,Cs12Ge1Li1Na3Si15,0aa08c4726,Cs12Na3LiSi15Ge,"['Li', 'Na', 'Si', 'Ge', 'Cs']",32,1183.3575,3.0376,1,P1,1,triclinic,-104.828,-0.0689,-0.0197,,,,0.0,,-0.0196,-0.0196
16321,Ho5Na1Pt8Si12,0ae920cf7f,NaHo5(Si3Pt2)4,"['Na', 'Si', 'Ho', 'Pt']",26,459.2879,9.9257,m,Pm,6,monoclinic,-161.8023,-0.9191,-0.0218,,0.0062,,0.0,,-0.0216,-0.0074
17006,Na8P8Si1Sr4Ti1,0b63fb2118,Na8Sr4TiSiP8,"['Na', 'Si', 'P', 'Ti', 'Sr']",22,556.7068,2.5597,1,P1,1,triclinic,-89.6944,-0.715,-0.0012,,1.2687,,0.0,,-0.0012,-0.0008
17811,Ga3Na2Pd6Si1,0beb90e076,Na2Ga3SiPd6,"['Na', 'Si', 'Ga', 'Pd']",12,213.0009,7.1859,m,Cm,8,monoclinic,-55.165,-0.5776,-0.0146,,0.0082,,0.0,,-0.0141,-0.014
19007,Na16P8Si1Ti1,0cbb8befc4,Na16TiSiP8,"['Na', 'Si', 'P', 'Ti']",26,599.7331,1.9148,-43m,F-43m,216,cubic,-89.3349,-0.4441,-0.0169,,0.8258,,0.0,,-0.0169,-0.0036
19176,Ca1Cu18Na1Si8,0cd77e2170,NaCa(Cu9Si4)2,"['Na', 'Si', 'Ca', 'Cu']",28,380.2748,6.2513,422,I422,97,tetragonal,-124.1557,-0.13,-0.021,,0.011,,0.0,,-0.0208,-0.0199
20225,Ir2Na2Pt2Si2Sr2,0d80a0647d,NaSrSiIrPt,"['Na', 'Si', 'Sr', 'Ir', 'Pt']",10,208.3227,8.3854,4/mmm,P4/nmm,129,tetragonal,-53.7784,-0.7085,-0.1016,,,,0.0,,-0.1007,-0.0273
20377,Ir6Na1Nd1Si14,0d9d39a21d,NaNd(Si7Ir3)2,"['Na', 'Si', 'Nd', 'Ir']",22,340.9029,8.3476,-3,R-3,148,trigonal,-147.9233,-0.584,-0.0174,,0.0126,,0.0,,-0.0172,-0.0167
